Nume Disciplina,Cod Disciplina,Nr Credite,Forma Evaluare,Nr Ore Curs,Nr Ore Seminar,Nr Ore Laborator
Analiză matematică,L001.23.01.F1,4,E,28,28,0
Matematici asistate de calculator,L001.23.02.F1,5,D,28,0,28
Rețele de calculatoare,L001.23.03.D1,4,D,28,0,28
Proiectarea și analiza algoritmilor,L001.23.04.D1,5,E,28,0,28
Algebră și geometrie,L001.23.01.F2,4,D,28,28,0
Probabilități și statistică,L001.23.02.F2,5,E,42,28,0
Structuri de date și algoritmi,L001.23.03.D2,5,E,28,0,28
Fundamente de inginerie software,L001.23.04.D2,6,E,42,0,28
Fizică,L001.23.01.F3,4,E,28,0,14
Dispozitive electronice și măsurări,L001.23.02.D3,5,E,42,0,28
Programarea orientată pe obiecte,L001.23.03.D3,5,E,42,0,28
Baze de date,L001.23.04.D3,4,E,28,0,28
Programarea calculatoarelor,L001.23.01.F4,6,E,42,0,28
Tehnici de programare,L001.23.02.F4,6,E,28,0,28
Arhitectura calculatoarelor,L001.23.03.D4,5,E,42,0,28
Sisteme de operare 1,L001.23.04.D4,4,E,28,0,28
Logică și structuri discrete,L001.23.01.F5,4,E,28,0,28
Logica digitala,L001.23.02.D5,5,E,28,0,28
Electronica digitala,L001.23.03.D5,4,D,28,0,28
Calculatoare numerice,L001.23.04.D5,6,D,42,0,14
Electrotehnică,L001.23.01.D6,4,D,28,0,14
Limbi străine 2,L001.23.02.C6,2,D,0,28,0
Achizitia si prelucrarea datelor,L001.23.03.D6,5,E,28,0,28
Comunicare,L001.23.04.C6,3,D,28,14,0
Limbi străine 1,L001.23.01.C7,2,D,0,28,0
Educație fizică 2,L001.23.02.C7,2,D,0,14,0
Educație fizică 3,L001.23.03.C7,2,D,0,14,0
Educație fizică 4,L001.23.04.C7,2,D,0,14,0
Educație fizică 1,L001.23.01.C8,2,D,0,14,0
Disciplină facultativă
(se alege din tabelul corespunzător sem. 1),L001.23.01.f11-ij,,,,,
Disciplină facultativă
(se alege din tabelul corespunzator sem. 2),L001.23.02.11-ij,,,,,
Disciplină facultativă
(se alege din tabelul corespunzător sem. 3),L001.23.03.11-ij,,,,,
Disciplină facultativă
(se alege din tabelul corespunzător sem. 4),L001.23.04.11-ij,,,,,
Bazele inteligentei artificiale,L001.23.05.D1,5,E,42,0,28
Grafica asistata de calculator,L001.23.06.F1,4,D,42,0,28
Administrarea rețelelor,L001.23.07.S1,5,D,42,0,14
Antreprenoriat in CTI,L001.23.08.S1,2,D,28,14,0
